node,num_cpus,num_gpus,CPU_GEN,GPU_SKU,IB,CPU_FRQ,GPU_GEN,CLASS,CPU_SKU,CPU_MNF,GPU_MEM,GPU_CC,GPU_BRD
sh02-02n71,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n72,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n01,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n02,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n03,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n04,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n05,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n06,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n07,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n08,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n09,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n10,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n11,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n12,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n13,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n14,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n15,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n16,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n17,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n18,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n19,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n20,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n21,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n22,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n23,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n24,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n25,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n26,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n27,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n28,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n29,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n30,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n31,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n32,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n33,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n34,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n35,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n36,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n37,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n38,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n39,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n40,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n41,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n42,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n43,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n44,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n45,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n46,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n47,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n48,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n49,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n50,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n51,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n52,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n53,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n54,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n55,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n56,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n57,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n58,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n59,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n60,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n61,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n62,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n63,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n64,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n65,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n66,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n67,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n68,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n69,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n70,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n71,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-03n72,24,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n01,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n02,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n03,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n04,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n05,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n06,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n07,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n08,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n09,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n10,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n11,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n12,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n13,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n14,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n15,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n16,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n17,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n18,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n19,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n20,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n21,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n22,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n23,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n24,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n25,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n26,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n27,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n28,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n29,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n30,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n31,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n32,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n33,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n34,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n35,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n36,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n37,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n38,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-04n39,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
